text,label
"Your account has been suspended. Click here immediately to verify your password",phishing
"Congratulations! You won a free iPhone. Claim now",spam
"Meeting has been scheduled for tomorrow at 10 AM",legitimate
"Reset your bank password now or your account will be blocked",phishing
"Get 50% discount on your next order. Limited time offer",spam
"Please find attached the project report for your review",legitimate
"Urgent: verify your login credentials immediately",phishing
"You have been selected for a cash reward. Click the link below",spam
"Reminder: your class starts at 9 AM tomorrow",legitimate
"Your mailbox storage is full. Update your account now",phishing
"Special offer just for you. Buy now and save big",spam
"The seminar has been postponed to next Monday",legitimate
"Security alert: unusual login detected. Confirm your account now",phishing
"Win a laptop today by filling out this quick form",spam
"Your assignment submission has been received successfully",legitimate
"Action required: your account will be deactivated unless verified",phishing
"Exclusive deal available only today. Shop now",spam
"Your interview is scheduled for Friday. Please be on time",legitimate
"Click here to avoid suspension of your payment account",phishing
"Earn money fast from home without any investment",spam
"Your library book return date is tomorrow",legitimate
